time,sym,bid,ask
2016-04-10T22:12:00.000000,EURGBP,0.807500005,0.807749987
2016-04-10T22:12:00.106000,EURGBP,0.807500005,0.807749987
2016-04-10T22:12:50.406000,EURGBP,0.80726999,0.807519972
2016-04-10T22:12:59.978000,EURGBP,0.807330012,0.807579994
2016-04-10T22:13:00.510000,EURGBP,0.807330012,0.807569981
2016-04-10T22:13:13.017000,EURGBP,0.807319999,0.807619989
2016-04-10T22:13:51.338000,EURGBP,0.807229996,0.807479978
2016-04-10T22:13:59.900000,EURGBP,0.807250023,0.807479978
2016-04-10T22:14:00.609000,EURGBP,0.807250023,0.807479978
2016-04-10T22:14:00.609000,EURGBP,0.807250023,0.807479978
2016-04-10T22:14:59.805000,EURGBP,0.807299972,0.807550013
2016-04-10T22:14:59.913000,EURGBP,0.807299972,0.807489991
2016-04-10T22:15:00.000000,EURGBP,0.807299972,0.807489991
2016-04-10T22:15:39.523000,EURGBP,0.807299972,0.807489991
2016-04-10T22:15:54.301000,EURGBP,0.807319999,0.807569981
2016-04-10T22:15:58.348000,EURGBP,0.807319999,0.807489991
2016-04-10T22:16:00.350000,EURGBP,0.807319999,0.807489991
2016-04-10T22:16:09.901000,EURGBP,0.807319999,0.807489991
2016-04-10T22:16:44.347000,EURGBP,0.807389975,0.807569981
2016-04-10T22:16:48.364000,EURGBP,0.807380021,0.807569981
2016-04-10T22:17:00.841000,EURGBP,0.807380021,0.807569981
2016-04-10T22:17:20.293000,EURGBP,0.807389975,0.807569981
2016-04-10T22:17:40.883000,EURGBP,0.807370007,0.807560027
2016-04-10T22:17:58.882000,EURGBP,0.807380021,0.807560027
2016-04-10T22:18:01.348000,EURGBP,0.807370007,0.807560027
2016-04-10T22:18:52.660000,EURGBP,0.807399988,0.807579994
2016-04-10T22:18:58.600000,EURGBP,0.807370007,0.807560027
2016-04-10T22:18:59.299000,EURGBP,0.807370007,0.807569981
2016-04-10T22:19:00.134000,EURGBP,0.807370007,0.807560027
2016-04-10T22:19:20.450000,EURGBP,0.807380021,0.807579994
2016-04-10T22:19:51.011000,EURGBP,0.807299972,0.807489991
2016-04-10T22:19:58.546000,EURGBP,0.80734998,0.807529986
2016-04-10T22:20:01.268000,EURGBP,0.80734998,0.807529986
2016-04-10T22:20:04.266000,EURGBP,0.807399988,0.807600021
2016-04-10T22:20:39.001000,EURGBP,0.807330012,0.807510018
2016-04-10T22:20:58.521000,EURGBP,0.807359993,0.807569981
2016-04-10T22:21:00.486000,EURGBP,0.807359993,0.807569981
2016-04-10T22:21:20.858000,EURGBP,0.807370007,0.807569981
2016-04-10T22:21:59.465000,EURGBP,0.80734998,0.807569981
2016-04-10T22:22:03.621000,EURGBP,0.80734998,0.807569981
2016-04-10T22:22:04.002000,EURGBP,0.80734998,0.807569981
2016-04-10T22:22:40.500000,EURGBP,0.80746001,0.807659984
2016-04-10T22:22:54.180000,EURGBP,0.807430029,0.807609975
2016-04-10T22:23:05.226000,EURGBP,0.807430029,0.807609975
2016-04-10T22:23:11.353000,EURGBP,0.807430029,0.807609975
2016-04-10T22:23:59.903000,EURGBP,0.807319999,0.807519972
2016-04-10T22:23:59.905000,EURGBP,0.807319999,0.807529986
2016-04-10T22:24:00.000000,EURGBP,0.807319999,0.807529986
2016-04-10T22:24:18.360000,EURGBP,0.80734998,0.807569981
2016-04-10T22:24:56.839000,EURGBP,0.807330012,0.807500005
2016-04-10T22:25:00.851000,EURGBP,0.807330012,0.807500005
2016-04-10T22:25:01.306000,EURGBP,0.807330012,0.80746001
2016-04-10T22:25:59.096000,EURGBP,0.807380021,0.807550013
2016-04-10T22:26:04.117000,EURGBP,0.807380021,0.807550013
2016-04-10T22:26:35.244000,EURGBP,0.807380021,0.807550013
2016-04-10T22:27:06.143000,EURGBP,0.807380021,0.807550013
2016-04-10T22:27:18.990000,EURGBP,0.807380021,0.807550013
2016-04-10T22:27:21.973000,EURGBP,0.807330012,0.807489991
2016-04-10T22:27:56.455000,EURGBP,0.807359993,0.807479978
2016-04-10T22:28:07.582000,EURGBP,0.80734998,0.807479978
2016-04-10T22:28:20.532000,EURGBP,0.807359993,0.807479978
2016-04-10T22:28:35.108000,EURGBP,0.80726999,0.807389975
2016-04-10T22:28:54.600000,EURGBP,0.807290018,0.807410002
2016-04-10T22:29:04.651000,EURGBP,0.807290018,0.807410002
2016-04-10T22:29:18.282000,EURGBP,0.807280004,0.807410002
2016-04-10T22:29:22.167000,EURGBP,0.807319999,0.807449996
2016-04-10T22:29:56.807000,EURGBP,0.807319999,0.807439983
2016-04-10T22:30:00.018000,EURGBP,0.807319999,0.807439983
2016-04-10T22:30:48.944000,EURGBP,0.807319999,0.807439983
2016-04-10T22:30:59.629000,EURGBP,0.807319999,0.807449996
2016-04-10T22:31:00.008000,EURGBP,0.807319999,0.807449996
2016-04-10T22:31:04.241000,EURGBP,0.807319999,0.807449996
2016-04-10T22:31:54.008000,EURGBP,0.807410002,0.807519972
2016-04-10T22:31:59.194000,EURGBP,0.807389975,0.807519972
2016-04-10T22:32:00.008000,EURGBP,0.807389975,0.807519972
2016-04-10T22:32:42.802000,EURGBP,0.807299972,0.807399988
2016-04-10T22:32:59.855000,EURGBP,0.807470024,0.807579994
2016-04-10T22:32:59.997000,EURGBP,0.807470024,0.807550013
2016-04-10T22:33:00.001000,EURGBP,0.807470024,0.807550013
2016-04-10T22:33:01.006000,EURGBP,0.807430029,0.807550013
